#        ID              RA           DEC         m_i    reff_arcsec    type
 NGFS033907-350722     54.779490    -35.122876   20.39        3.593   dwarf_non_nucleated
 NGFS033407-352252     53.530179    -35.381202   22.51        3.616   dwarf_non_nucleated
 NGFS033951-360045     54.963183    -36.012438   21.23        3.650   dwarf_non_nucleated
 NGFS033600-355610     54.000458    -35.936191   21.52        3.669   dwarf_non_nucleated
 NGFS033601-361529     54.004474    -36.257919   20.34        3.674   dwarf_non_nucleated
 NGFS033953-360831     54.969000    -36.141946   20.95        3.777   dwarf_non_nucleated
 NGFS034123-350020     55.344006    -35.005584   22.19        3.785   dwarf_non_nucleated
 NGFS033443-353115     53.680791    -35.520855   20.96        3.821   dwarf_non_nucleated
 NGFS033547-352142     53.947250    -35.361778   20.87        3.821   dwarf_non_nucleated
 NGFS034115-352703     55.311188    -35.450948   19.69        3.879   dwarf_non_nucleated
 NGFS033955-344146     54.977090    -34.696146   19.52        3.911   dwarf_non_nucleated
 NGFS033655-362112     54.228827    -36.353391   20.57        3.979   dwarf_non_nucleated
 NGFS034018-360332     55.075265    -36.058877   21.80        3.984   dwarf_non_nucleated
 NGFS033608-355913     54.035091    -35.986927   21.07        4.011   dwarf_non_nucleated
 NGFS033854-355912     54.725820    -35.986665   21.30        4.013   dwarf_non_nucleated
 NGFS033806-360301     54.526090    -36.050146   19.98        4.016   dwarf_non_nucleated
 NGFS033512-352603     53.799719    -35.434218   21.27        4.077   dwarf_non_nucleated
 NGFS033808-360420     54.531330    -36.072092   22.73        4.108   dwarf_non_nucleated
 NGFS034124-354548     55.348314    -35.763366   21.73        4.184   dwarf_non_nucleated
 NGFS034247-352323     55.696985    -35.389707   21.20        4.216   dwarf_non_nucleated
 NGFS033558-352053     53.991060    -35.348000   19.30        4.216   dwarf_non_nucleated
 NGFS033815-350722     54.562036    -35.122848   21.24        4.368   dwarf_non_nucleated
 NGFS033350-355706     53.457808    -35.951715   21.42        4.411   dwarf_non_nucleated
 NGFS033842-353308     54.675859    -35.552130   19.28        4.447   dwarf_non_nucleated
 NGFS033620-343539     54.083365    -34.594147   21.67        4.466   dwarf_non_nucleated
 NGFS034243-353226     55.678970    -35.540671   19.94        4.471   dwarf_non_nucleated
 NGFS034005-343907     55.021332    -34.652052   20.14        4.503   dwarf_non_nucleated
 NGFS033751-352146     54.462119    -35.362881   21.52        4.603   dwarf_non_nucleated
 NGFS033427-350621     53.613253    -35.105768   21.06        4.726   dwarf_non_nucleated
 NGFS033811-362016     54.545856    -36.337657   20.67        4.837   dwarf_non_nucleated
 NGFS033738-352308     54.410400    -35.385500   20.00        4.997   dwarf_non_nucleated
 NGFS033433-350236     53.635630    -35.043195   20.89        5.052   dwarf_non_nucleated
 NGFS033610-354017     54.042107    -35.671438   21.03        5.068   dwarf_non_nucleated
 NGFS033837-355002     54.652580    -35.833946   18.46        5.071   dwarf_non_nucleated
 NGFS033642-344241     54.174171    -34.711461   19.90        5.118   dwarf_non_nucleated
 NGFS034043-355139     55.180586    -35.860774   18.02        5.134   dwarf_non_nucleated
 NGFS033505-351307     53.772831    -35.218592   18.42        5.163   dwarf_non_nucleated
 NGFS033515-353012     53.814204    -35.503450   22.38        5.184   dwarf_non_nucleated
 NGFS033822-345537     54.593667    -34.926927   20.98        5.242   dwarf_non_nucleated
 NGFS033735-343400     54.393832    -34.566501   20.34        5.265   dwarf_non_nucleated
 NGFS033654-354450     54.226572    -35.747144   20.42        5.273   dwarf_non_nucleated
 NGFS033301-353635     53.253453    -35.609608   17.70        5.397   dwarf_non_nucleated
 NGFS033716-352130     54.315355    -35.358242   21.03        5.407   dwarf_non_nucleated
 NGFS034027-352512     55.111179    -35.419999   19.95        5.452   dwarf_non_nucleated
 NGFS034034-355318     55.140092    -35.888292   20.27        5.481   dwarf_non_nucleated
 NGFS033543-355051     53.929432    -35.847585   20.09        5.499   dwarf_non_nucleated
 NGFS033942-353155     54.923359    -35.531899   19.89        5.505   dwarf_non_nucleated
 NGFS033932-360559     54.884181    -36.099673   20.06        5.549   dwarf_non_nucleated
 NGFS034124-360450     55.349458    -36.080581   20.65        5.578   dwarf_non_nucleated
 NGFS033458-351324     53.739835    -35.223450   19.23        5.662   dwarf_non_nucleated
 NGFS034012-351720     55.052046    -35.288779   20.89        5.668   dwarf_non_nucleated
 NGFS033400-354533     53.498979    -35.759240   18.81        5.707   dwarf_non_nucleated
 NGFS033948-361111     54.950765    -36.186495   20.10        5.797   dwarf_non_nucleated
 NGFS033436-360315     53.651586    -36.054242   21.07        5.807   dwarf_non_nucleated
 NGFS033901-362019     54.753401    -36.338584   18.95        5.823   dwarf_non_nucleated
 NGFS033741-351746     54.421200    -35.296146   18.61        5.873   dwarf_non_nucleated
 NGFS033418-354741     53.576058    -35.794642   17.51        5.894   dwarf_non_nucleated
 NGFS033818-344028     54.575622    -34.674438   19.88        5.920   dwarf_non_nucleated
 NGFS033500-351920     53.750845    -35.322295   18.75        6.046   dwarf_non_nucleated
 NGFS034026-350013     55.109478    -35.003499   20.01        6.054   dwarf_non_nucleated
 NGFS034104-345715     55.266001    -34.954146   19.13        6.065   dwarf_non_nucleated
 NGFS034150-353207     55.458626    -35.535276   18.60        6.070   dwarf_non_nucleated
 NGFS033639-353641     54.160631    -35.611326   20.39        6.099   dwarf_non_nucleated
 NGFS033809-350954     54.535921    -35.165108   20.26        6.112   dwarf_non_nucleated
 NGFS034104-353851     55.266536    -35.647586   17.43        6.175   dwarf_non_nucleated
 NGFS033557-343756     53.987937    -34.632328   18.68        6.188   dwarf_non_nucleated
 NGFS033524-360530     53.849200    -36.091600   19.40        6.278   dwarf_non_nucleated
 NGFS033406-351638     53.524865    -35.277294   19.12        6.278   dwarf_non_nucleated
 NGFS033713-361528     54.303830    -36.257890   19.79        6.301   dwarf_non_nucleated
 NGFS033407-352838     53.529061    -35.477220   21.14        6.317   dwarf_non_nucleated
 NGFS034300-353809     55.751894    -35.635791   21.53        6.354   dwarf_non_nucleated
 NGFS033625-354212     54.104877    -35.703291   19.55        6.378   dwarf_non_nucleated
 NGFS033414-354910     53.559525    -35.819460   20.30        6.428   dwarf_non_nucleated
 NGFS033815-361652     54.564160    -36.281169   20.31        6.517   dwarf_non_nucleated
 NGFS033446-354239     53.692022    -35.710803   20.93        6.528   dwarf_non_nucleated
 NGFS033827-350907     54.613447    -35.152073   20.45        6.778   dwarf_non_nucleated
 NGFS034146-353055     55.443722    -35.515360   21.24        6.835   dwarf_non_nucleated
 NGFS034219-353340     55.579554    -35.561026   18.82        6.864   dwarf_non_nucleated
 NGFS034141-352108     55.419261    -35.352290   18.96        7.054   dwarf_non_nucleated
 NGFS033309-352349     53.285963    -35.396949   19.18        7.088   dwarf_non_nucleated
 NGFS033605-362009     54.018900    -36.335900   20.05        7.161   dwarf_non_nucleated
 NGFS033942-352806     54.924988    -35.468362   20.87        7.427   dwarf_non_nucleated
 NGFS034050-350126     55.207520    -35.023855   18.60        7.432   dwarf_non_nucleated
 NGFS034019-350815     55.077401    -35.137506   20.18        7.435   dwarf_non_nucleated
 NGFS033819-360357     54.580131    -36.065719   18.14        7.467   dwarf_non_nucleated
 NGFS034237-355721     55.653783    -35.955917   18.17        7.519   dwarf_non_nucleated
 NGFS033855-351413     54.729368    -35.237000   18.43        7.598   dwarf_non_nucleated
 NGFS033600-345240     54.000817    -34.877802   19.44        7.640   dwarf_non_nucleated
 NGFS033534-344817     53.891461    -34.804781   17.60        7.732   dwarf_non_nucleated
 NGFS034107-354125     55.278800    -35.690300   19.05        7.751   dwarf_non_nucleated
 NGFS033858-351105     54.739897    -35.184658   19.09        7.764   dwarf_non_nucleated
 NGFS034053-350704     55.220374    -35.117729   18.82        7.764   dwarf_non_nucleated
 NGFS034041-345656     55.168829    -34.948950   18.72        7.769   dwarf_non_nucleated
 NGFS034000-360537     55.001275    -36.093656   19.98        7.966   dwarf_non_nucleated
 NGFS033741-361026     54.420634    -36.173910   20.44        8.132   dwarf_non_nucleated
